section,plan_item,scenario_id,scenario_title,scenario_detail,implementation_strategy,code_mutation_summary,expected_outcome,how_to_evaluate,artifact_paths,notes
6.1 Integrity verification,User input,S6.1-A,Dispute: recorded symptoms or modality disagree with the archive,"Post-hoc audit: clinical party claims chief complaint or input modality (e.g. image+text) does not match the retained record; verify the on-chain commitment matches the original inference input.",context,"Prefer mutating input_summary.modality in canonical_payload (append _tampered); if input_summary is missing fall back to output_summary.output_label (see audit_pipeline._tamper_offchain_payload). Primarily mutates input_summary.modality; if input_summary missing falls back to output_label tamper.",Any structural change to retained inference evidence should mismatch the commitment; tampering is detectable when binding exists.,context row in the tamper matrix; single-strategy run run_med_csv_integration --tamper-strategy context.,run_attack_detection_matrix.py; outputs/records/<tag>/experiment_summary.json; outputs/attack_matrix/attack_detection_matrix.csv,Rows without rich input may fall back to output tamper; Methods should document fallback behavior.
6.1 Integrity verification,Model version,S6.1-B,Dispute: actual model or inference config disagrees with declared card,"Auditor checks model card; party claims a different weight set or inference_config (temperature max_tokens etc.) than filed for that run.",model,"Cascade: first model_summary.inference_config; else governance.policy_version; else context; finally output (_tamper_offchain_payload strategy model).",Changes should break hash/check against anchored evidence; detection rate depends on whether model summary is in the commitment.,model row in tamper matrix; under payload ablation no_model strongly changes detectability.,run_attack_detection_matrix.py; experiment_summary.json baseline_* and proposed detection rates.,Differs from a naive version-string story: implementation mutates inference_config text and cascade path.
6.1 Integrity verification,Prompt template,S6.1-C,Dispute: prompt or safety policy version disagrees with record,"Dispute centers on which prompt template or institutional policy version was used; governance and policy metadata must match the anchor.",governance,"Cascade: first governance_summary.policy_version; else context; finally output; no dedicated prompt_text tamper branch in code.",Policy or filing metadata swaps should be detectable when governance is bound into the commitment.,governance row in matrix; compare payload ablation no_governance (weaker detection when governance is omitted).,Same as above; use ablation runs to show binding scope.,Paper wording should use policy/governance metadata; do not claim a literal prompt_text tamper path that the plan names but code lacks.
6.1 Integrity verification,Retrieved evidence,S6.1-D,Dispute: cited guideline or literature passage was swapped,"Party claims external evidence cited does not match what was written into the inference context; whether context-side summaries are bound.",context,"Same as S6.1-A: context-side tamper (modality) first; if full evidence text is not in structured fields behavior may appear on context path or fall back to output.",Edits bound in evidence/input summaries should fail verification; otherwise declare limits in the threat model.,matrix context row; if the dataset lacks rich context summaries state this in Methods.,tamper_audit.csv; experiment_summary.json.,Full passage replacement depends on payload schema; describe actual mutated fields in Methods.
6.1 Integrity verification,Output text,S6.1-E,Dispute: patient-visible final conclusion was altered post hoc,"Common dispute: printed conclusion sentence or label does not match the anchored output.",output,"Only mutates output_summary.output_label (append [tamper] etc.).",Edits within output commitment scope should be detected except under very weak binding (e.g. output_only ablation).,matrix output row; output_only ablation column shows degradation.,Same as above; layer_quarter runs for ablation narrative.,Compared to long free text; implementation focuses on output_label.
6.1 Integrity verification,Timestamp metadata,S6.1-F,Dispute: record time or ordering was falsified,"Plan calls for timestamp metadata; _tamper_offchain_payload has no dedicated timestamp field tamper today.",(none in default strategies),Default tamper_strategy list has no dedicated timestamp mutation; extend audit_pipeline or add a minimal experiment.,After extending fields any change should break hash; this row marks a current gap.,If implemented: add strategy or unit test patching request_meta then re-run matrix.,N/A pending implementation,Disclose honestly in the paper: quantitative timestamp claims need extra threat model and code.
6.1 Integrity verification,Multi-layer / unspecified,S6.1-G,Multi-layer dispute or rotating stress,"Do not fix the dispute to one layer; rotate across model governance context output.",layer_quarter,"One layer per row mod 4: model inference_config; governance policy_version; context modality; output label.",Detection rate steps with payload_ablation; explains binding scope vs integrity.,matrix layer_quarter; ablation grid full vs no_model vs output_only.,ablation_layer_quarter_run.ps1 (not in this repo) or manual tags; experiment_summary.,Unlike mixed multi-field attacks; mixed strategy in code alternates output vs context only.
6.2 Privacy and storage,On-chain data size per record,,Metric: committed bytes per inference,"No narrative scene; compare Baseline A/B vs Proposed summary-byte proxies written on-chain.",(no tamper),privacy_proxy.*_committed_json_bytes or baseline payload proxies in experiment_summary.,Proposed on-chain commitment should be smaller than naive full-plaintext-on-chain; tie bytes to gas in the paper.,experiment_summary.json; commitments_chain.csv row payloads when documented in paper.,On-chain is digest or summary only; raw clinical charts are not stored on-chain by design.
6.2 Privacy and storage,Off-chain data size per record,,Metric: off-chain artifact size,"Measure JSONL and artifact volume; cost of separated off-chain storage vs on-chain commitment.",(no tamper),inference_offchain.jsonl under records_dir plus assumptions and optional performance rollup.,Off-chain store must hold full evidence; report MiB or bytes per request if pipeline writes performance_overhead.,inference_offchain.jsonl size; assumptions.json performance_overhead when present.,outputs/records/<tag>/; columns depend on performance JSON shape.
6.2 Privacy and storage,Gas / transaction cost,,Metric: gas and USD per recordCommitment,"Per-transaction USD under varying gas assumptions.",(no tamper),gas_used and fee columns in commitments_chain.csv; assumptions and market metadata from run_med_csv_integration when live rates are used.,Cost should be acceptable for comparable detection tasks; show sensitivity vs gas in the paper if you report this metric.,commitments_chain.csv fee columns; compare tags with different --gas-used-range or live vs fixed rates.,run_med_csv_integration.py; outputs/records/<tag>/commitments_chain.csv; experiment_summary.json.
